commodity_code,region_code,price_month,price_value,currency_code,unit,source_system,source_url,source_record_id
CEREALS,GLOBAL,2001-08-01,51.6,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2001-08_1442
CEREALS,GLOBAL,2001-09-01,51.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2001-09_1443
CEREALS,GLOBAL,2001-10-01,51.0,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2001-10_1444
CEREALS,GLOBAL,2001-11-01,51.9,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2001-11_1445
CEREALS,GLOBAL,2001-12-01,52.0,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2001-12_1446
CEREALS,GLOBAL,2002-01-01,51.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2002-01_1447
CEREALS,GLOBAL,2002-02-01,50.4,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2002-02_1448
CEREALS,GLOBAL,2002-03-01,49.6,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2002-03_1449
CEREALS,GLOBAL,2002-04-01,49.3,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2002-04_1450
CEREALS,GLOBAL,2002-05-01,50.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2002-05_1451
CEREALS,GLOBAL,2002-06-01,52.0,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2002-06_1452
CEREALS,GLOBAL,2002-07-01,54.6,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2002-07_1453
CEREALS,GLOBAL,2002-08-01,58.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2002-08_1454
