commodity_name,symbol,price_text,currency,ref_period,unit,source_name,source_url,collected_at,record_id
FOOD PRICE INDEX,,73.0,INDEX_POINTS,1997-03,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1997-03_87
FOOD PRICE INDEX,,73.5,INDEX_POINTS,1997-04,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1997-04_88
FOOD PRICE INDEX,,72.9,INDEX_POINTS,1997-05,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1997-05_89
FOOD PRICE INDEX,,70.3,INDEX_POINTS,1997-06,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1997-06_90
FOOD PRICE INDEX,,68.6,INDEX_POINTS,1997-07,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1997-07_91
FOOD PRICE INDEX,,70.0,INDEX_POINTS,1997-08,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1997-08_92
FOOD PRICE INDEX,,70.1,INDEX_POINTS,1997-09,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1997-09_93
FOOD PRICE INDEX,,69.9,INDEX_POINTS,1997-10,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1997-10_94
FOOD PRICE INDEX,,70.5,INDEX_POINTS,1997-11,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1997-11_95
FOOD PRICE INDEX,,68.1,INDEX_POINTS,1997-12,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1997-12_96
FOOD PRICE INDEX,,67.5,INDEX_POINTS,1998-01,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1998-01_97
FOOD PRICE INDEX,,67.7,INDEX_POINTS,1998-02,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1998-02_98
FOOD PRICE INDEX,,67.6,INDEX_POINTS,1998-03,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1998-03_99
FOOD PRICE INDEX,,67.0,INDEX_POINTS,1998-04,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1998-04_100
FOOD PRICE INDEX,,66.6,INDEX_POINTS,1998-05,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1998-05_101
FOOD PRICE INDEX,,64.4,INDEX_POINTS,1998-06,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1998-06_102
FOOD PRICE INDEX,,64.4,INDEX_POINTS,1998-07,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1998-07_103
FOOD PRICE INDEX,,62.6,INDEX_POINTS,1998-08,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1998-08_104
FOOD PRICE INDEX,,62.1,INDEX_POINTS,1998-09,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1998-09_105
FOOD PRICE INDEX,,62.9,INDEX_POINTS,1998-10,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1998-10_106
FOOD PRICE INDEX,,62.8,INDEX_POINTS,1998-11,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1998-11_107
FOOD PRICE INDEX,,62.2,INDEX_POINTS,1998-12,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1998-12_108
